,id,dt,i,c,m,p,t
172,MSP,2024-06-14T17:02:10+02:00,R16.40,16.94,-0.54,-3.19%,clickacompany
173,MST,2024-06-14T16:47:11+02:00,R9.20,9.20,,,clickacompany
174,MTA,2024-06-14T17:00:21+02:00,R11.07,11.13,-0.06,-0.54%,clickacompany
175,MTNZF,2024-06-14T14:56:35+02:00,R14.15,14.15,,,clickacompany
176,MTN,2024-06-14T17:05:38+02:00,R82.25,78.12,4.13,5.29%,clickacompany
177,MCG,2024-06-14T17:08:42+02:00,R104.92,106.84,-1.92,-1.80%,clickacompany
178,MUR,2024-06-14T17:00:18+02:00,R2.15,2.05,0.10,4.88%,clickacompany
179,NCS,2024-06-14T17:06:29+02:00,R0.82,0.82,,,clickacompany
180,NED,2024-06-14T17:06:11+02:00,R246.60,236.47,10.13,4.28%,clickacompany
181,NY1,2024-06-14T17:02:17+02:00,R37.13,37.25,-0.12,-0.32%,clickacompany
182,N91,2024-06-14T17:04:12+02:00,R37.59,37.71,-0.12,-0.32%,clickacompany
183,NPH,2024-06-14T17:00:59+02:00,R108.00,107.99,0.01,0.01%,clickacompany
184,NPK,2024-06-14T16:45:42+02:00,R182.00,182.00,,,clickacompany
185,NPKP,2024-06-14T17:06:29+02:00,R0.70,0.70,,,clickacompany
186,NPN,2024-06-14T17:09:54+02:00,"R3,736.94","3,847.15",-110.21,-2.86%,clickacompany
187,NPP1,2024-06-14T17:06:29+02:00,R1.31,1.31,,,clickacompany
188,NRL,2024-06-14T17:06:29+02:00,R4.80,4.80,,,clickacompany
189,NRP,2024-06-14T17:03:56+02:00,R133.66,133.63,0.03,0.02%,clickacompany
190,NTC,2024-06-14T17:10:49+02:00,R12.43,11.90,0.53,4.45%,clickacompany
191,NTCP,2024-06-14T14:18:01+02:00,R75.26,75.02,0.24,0.32%,clickacompany
192,XII,2024-06-14T17:06:29+02:00,R0.01,0.01,,,clickacompany
193,NVS,2024-06-14T17:00:36+02:00,R5.50,5.89,-0.39,-6.62%,clickacompany
194,NWL,2024-06-14T17:06:29+02:00,R27.60,27.60,,,clickacompany
195,OAO,2024-06-14T15:56:38+02:00,R0.20,0.09,0.11,122.22%,clickacompany
196,OAS,2024-06-14T17:00:19+02:00,R19.50,19.50,,,clickacompany
197,OCE,2024-06-14T17:00:18+02:00,R75.00,75.25,-0.25,-0.33%,clickacompany
198,OCT,2024-06-14T16:41:23+02:00,R9.37,9.25,0.12,1.30%,clickacompany
199,OMU,2024-06-14T17:09:13+02:00,R11.31,10.52,0.79,7.51%,clickacompany
200,OMN,2024-06-14T17:00:22+02:00,R58.95,58.00,0.95,1.64%,clickacompany
201,ORN,2024-06-14T17:00:46+02:00,R0.22,0.22,,,clickacompany
202,OUT,2024-06-14T17:07:53+02:00,R44.57,41.93,2.64,6.30%,clickacompany
203,PAN,2024-06-14T17:00:33+02:00,R5.76,5.90,-0.14,-2.37%,clickacompany
204,PBG,2024-06-14T17:06:29+02:00,R6.41,6.41,,,clickacompany
205,PPH,2024-06-14T17:05:50+02:00,R18.51,18.21,0.30,1.65%,clickacompany
206,PIK,2024-06-14T17:04:03+02:00,R26.29,24.77,1.52,6.14%,clickacompany
207,PMV,2024-06-14T17:06:29+02:00,R1.40,1.40,,,clickacompany
208,PWR,2024-06-14T09:13:32+02:00,R84.00,85.00,-1.00,-1.18%,clickacompany
209,PPC,2024-06-14T17:00:04+02:00,R3.27,3.14,0.13,4.14%,clickacompany
210,PPE,2024-06-14T14:43:05+02:00,R0.77,0.78,-0.01,-1.28%,clickacompany
211,PPR,2024-06-14T17:06:29+02:00,R3.20,3.20,,,clickacompany
212,PMR,2024-06-14T16:48:36+02:00,R66.00,64.99,1.01,1.55%,clickacompany
213,PHP,2024-06-14T16:36:55+02:00,R21.50,21.70,-0.20,-0.92%,clickacompany
214,PRX,2024-06-14T17:10:14+02:00,R664.87,683.00,-18.13,-2.65%,clickacompany
215,PSV,2024-06-14T17:06:29+02:00,R0.08,0.08,,,clickacompany
216,QFH,2024-06-14T16:47:47+02:00,R16.00,17.50,-1.50,-8.57%,clickacompany
217,QLT,2024-06-14T17:00:29+02:00,R26.96,27.56,-0.60,-2.18%,clickacompany
218,RACP,2024-06-14T11:07:55+02:00,R8.00,7.70,0.30,3.90%,clickacompany
219,RBX,2024-06-14T17:00:36+02:00,R35.64,36.00,-0.36,-1.00%,clickacompany
220,RCL,2024-06-14T17:00:24+02:00,R11.34,11.20,0.14,1.25%,clickacompany
221,RDF,2024-06-14T17:00:27+02:00,R3.92,3.74,0.18,4.81%,clickacompany
222,REA,2024-06-14T17:06:29+02:00,R0.96,0.96,,,clickacompany
223,REB,2024-06-14T17:06:29+02:00,R0.16,0.16,,,clickacompany
224,RNI,2024-06-14T17:00:29+02:00,R470.90,467.57,3.33,0.71%,clickacompany
225,REM,2024-06-14T17:00:51+02:00,R132.08,128.85,3.23,2.51%,clickacompany
226,REN,2024-06-14T17:00:18+02:00,R10.19,10.10,0.09,0.89%,clickacompany
227,RES,2024-06-14T17:00:03+02:00,R44.28,44.07,0.21,0.48%,clickacompany
228,RFG,2024-06-14T16:49:23+02:00,R13.80,13.93,-0.13,-0.93%,clickacompany
229,RHB,2024-06-14T17:06:29+02:00,R2.50,2.50,,,clickacompany
230,RLO,2024-06-14T17:00:06+02:00,R68.24,66.17,2.07,3.13%,clickacompany
231,RMH,2024-06-14T17:00:40+02:00,R0.39,0.40,-0.01,-2.50%,clickacompany
232,RNG,2024-06-14T17:06:29+02:00,R0.60,0.60,,,clickacompany
233,RTN,2024-06-14T17:06:29+02:00,R11.48,11.48,,,clickacompany
234,RTOP,2024-06-14T17:06:29+02:00,R1.11,1.11,,,clickacompany
235,RTO,2024-06-14T17:06:29+02:00,R11.50,11.50,,,clickacompany
236,S32,2024-06-14T17:00:49+02:00,R43.92,44.86,-0.94,-2.10%,clickacompany
237,SZK,2024-06-14T17:06:29+02:00,R37.00,37.00,,,clickacompany
