,0,1,2
180,MC GROUP,Telecommunications Service Providers,MC GROUP MCG MultiChoice Group Ltd. MultiChoice-Group-Ltd.
181,M&R-HLD,Construction and Materials,M&R-HLD MUR Murray & Roberts Holdings Ltd. Murray-&-Roberts-Holdings-Ltd.
182,NICTUS,Retailers,NICTUS NCS Nictus Ltd. Nictus-Ltd.
183,NEDBANK,Banks,NEDBANK NED Nedbank Group Ltd. Nedbank-Group-Ltd.
184,NINETY 1L,Investment Banking and Brokerage Services,NINETY 1L NY1 Ninety One Ltd. Ninety-One-Ltd.
185,NINETY 1P,Investment Banking and Brokerage Services,NINETY 1P N91 Ninety One plc Ninety-One-plc
186,NORTHAM,Precious Metals and Mining,NORTHAM NPH Northam Platinum Holdings Ltd. Northam-Platinum-Holdings-Ltd.
187,NAMPAK,General Industrials,NAMPAK NPK Nampak Ltd. Nampak-Ltd.
188,NAMPAK 6%P,Preference Shares,NAMPAK 6%P NPKP Nampak Ltd. Nampak-Ltd.
189,NASPERS-N,Software and Computer Services,NASPERS-N NPN Naspers Ltd. Naspers-Ltd.
190,NAMPAK 6.5,Preference Shares,NAMPAK 6.5 NPP1 Nampak Ltd. Nampak-Ltd.
191,NEWPARK,Real Estate Investment Trusts,NEWPARK NRL Newpark REIT Ltd. Newpark-REIT-Ltd.
192,NEPIROCK,Real Estate Investment and Services,NEPIROCK NRP NEPI Rockcastle NV NEPI-Rockcastle-NV
193,NETCARE,Health Care Providers,NETCARE NTC Netcare Ltd. Netcare-Ltd.
194,NTC PREF,Preference Shares,NTC PREF NTCP Netcare Ltd. Netcare-Ltd.
195,NUMERAL,Pharmaceuticals and Biotechnology,NUMERAL XII Numeral Ltd. Numeral-Ltd.
196,NOVUS,Industrial Support Services,NOVUS NVS Novus Holdings Ltd. Novus-Holdings-Ltd.
197,NUWORLD,Leisure Goods,NUWORLD NWL Nu-World Holdings Ltd. Nu-World-Holdings-Ltd.
198,OANDO,"Oil, Gas and Coal",OANDO OAO Oando plc Oando-plc
199,OASIS,Real Estate Investment Trusts,OASIS OAS Oasis Crescent Property Fund Oasis-Crescent-Property-Fund
200,OCEANA,Food Producers,OCEANA OCE Oceana Group Ltd. Oceana-Group-Ltd.
201,OCTODEC,Real Estate Investment Trusts,OCTODEC OCT Octodec Investments Ltd. Octodec-Investments-Ltd.
202,OMUTUAL,Life Insurance,OMUTUAL OMU Old Mutual Ltd. Old-Mutual-Ltd.
203,OMNIA,Chemicals,OMNIA OMN Omnia Holdings Ltd. Omnia-Holdings-Ltd.
204,ORIONMIN,Industrial Metals and Mining,ORIONMIN ORN Orion Minerals Ltd. Orion-Minerals-Ltd.
205,OUTSURE,Non-life Insurance,OUTSURE OUT OUTsurance Group Ltd. OUTsurance-Group-Ltd.
206,PAN-AF,Precious Metals and Mining,PAN-AF PAN Pan African Resources plc Pan-African-Resources-plc
207,PBT GROUP,Software and Computer Services,PBT GROUP PBG PBT Group Ltd. PBT-Group-Ltd.
208,PEPKORH,Retailers,PEPKORH PPH Pepkor Holdings Ltd. Pepkor-Holdings-Ltd.
209,PICKNPAY,"Personal Care, Drug and Grocery Stores",PICKNPAY PIK Pick n Pay Stores Ltd. Pick-n-Pay-Stores-Ltd.
210,PRIMESERV,Industrial Support Services,PRIMESERV PMV Primeserv Group Ltd. Primeserv-Group-Ltd.
211,POWER,Telecommunications Equipment,POWER PWR PowerFleet Inc. PowerFleet-Inc.
212,PPC,Construction and Materials,PPC PPC PPC Ltd. PPC-Ltd.
